# JMH version: 1.37
# VM version: JDK 21.0.5, OpenJDK 64-Bit Server VM, 21.0.5+11-LTS
# VM invoker: /home/rafael/.sdkman/candidates/java/21.0.5-amzn/bin/java
# VM options: <none>
# Blackhole mode: compiler (auto-detected, use -Djmh.blackhole.autoDetect=false to disable)
# Warmup: 10 iterations, 1 s each
# Measurement: 100 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: org.sample.ECDSABenchmark.benchmarkKeyGeneration

# Run progress: 0.00% complete, ETA 02:45:00
# Fork: 1 of 5
# Warmup Iteration   1: 134671.869 ns/op
# Warmup Iteration   2: 74628.451 ns/op
# Warmup Iteration   3: 59428.001 ns/op
# Warmup Iteration   4: 63360.924 ns/op
# Warmup Iteration   5: 61486.580 ns/op
# Warmup Iteration   6: 64780.108 ns/op
# Warmup Iteration   7: 57246.800 ns/op
# Warmup Iteration   8: 58081.752 ns/op
# Warmup Iteration   9: 57657.816 ns/op
# Warmup Iteration  10: 60837.091 ns/op
Iteration  33: 59711.611 ns/op
Iteration  34: 60629.013 ns/op
Iteration  35: 58529.158 ns/op
Iteration  36: 58545.065 ns/op
Iteration  37: 57984.020 ns/op
Iteration  38: 59896.259 ns/op
Iteration  39: 59196.173 ns/op
Iteration  40: 59355.370 ns/op
Iteration  41: 61439.143 ns/op
Iteration  42: 62718.020 ns/op
Iteration  43: 63952.413 ns/op
Iteration  44: 62202.699 ns/op
Iteration  45: 60714.242 ns/op
Iteration  46: 61484.535 ns/op
Iteration  47: 67437.978 ns/op
Iteration  48: 61530.007 ns/op
Iteration  49: 59721.048 ns/op
Iteration  50: 59882.687 ns/op
Iteration  51: 63471.954 ns/op
Iteration  52: 60578.918 ns/op
Iteration  53: 57658.979 ns/op
Iteration  54: 58635.074 ns/op
Iteration  55: 57899.099 ns/op
Iteration  56: 59603.869 ns/op
Iteration  57: 59413.122 ns/op
Iteration  58: 59968.768 ns/op
Iteration  59: 58216.727 ns/op
Iteration  60: 57631.539 ns/op
Iteration  61: 58431.418 ns/op
Iteration  62: 58443.986 ns/op
Iteration  63: 57524.744 ns/op
Iteration  64: 58841.190 ns/op
Iteration  65: 57824.348 ns/op
Iteration  66: 58424.534 ns/op
Iteration  67: 59555.897 ns/op
Iteration  68: 59112.661 ns/op
Iteration  69: 57603.466 ns/op
Iteration  70: 57987.948 ns/op
Iteration  71: 58567.664 ns/op
Iteration  72: 65448.845 ns/op
Iteration  73: 57745.632 ns/op
Iteration  74: 58186.629 ns/op
Iteration  75: 57660.982 ns/op
Iteration  76: 57368.363 ns/op
Iteration  77: 58651.358 ns/op
Iteration  78: 69286.342 ns/op
Iteration  79: 62842.731 ns/op
Iteration  80: 60597.438 ns/op
Iteration  81: 59326.051 ns/op
Iteration  82: 60069.575 ns/op
Iteration  83: 62499.531 ns/op
Iteration  84: 62609.713 ns/op
Iteration  85: 62777.868 ns/op
Iteration  86: 72310.572 ns/op
Iteration  87: 67123.378 ns/op
Iteration  88: 71699.103 ns/op
Iteration  89: 67882.776 ns/op
Iteration  90: 66450.953 ns/op
Iteration  91: 66947.208 ns/op
Iteration  92: 64005.221 ns/op
Iteration  93: 64552.562 ns/op
Iteration  94: 62631.636 ns/op
Iteration  95: 59392.307 ns/op
Iteration  96: 61924.833 ns/op
Iteration  97: 61655.190 ns/op
Iteration  98: 63658.984 ns/op
Iteration  99: 60110.458 ns/op
Iteration 100: 57953.586 ns/op

# Run progress: 2.22% complete, ETA 02:41:45
# Fork: 3 of 5
# Warmup Iteration   1: 122755.942 ns/op
# Warmup Iteration   2: 67315.636 ns/op
# Warmup Iteration   3: 63972.336 ns/op
# Warmup Iteration   4: 60967.115 ns/op
# Warmup Iteration   5: 62628.261 ns/op
# Warmup Iteration   6: 60682.438 ns/op
# Warmup Iteration   7: 61592.999 ns/op
# Warmup Iteration   8: 62210.121 ns/op
# Warmup Iteration   9: 61548.141 ns/op
# Warmup Iteration  10: 60294.069 ns/op
Iteration   1: 59160.202 ns/op
Iteration   2: 60893.774 ns/op
Iteration   3: 60812.200 ns/op
Iteration   4: 60718.503 ns/op
Iteration   5: 57690.420 ns/op
Iteration   6: 57548.601 ns/op
Iteration   7: 60236.188 ns/op
Iteration   8: 59342.881 ns/op
Iteration   9: 59884.870 ns/op
Iteration  10: 58902.209 ns/op
Iteration  11: 59103.968 ns/op
Iteration  12: 60581.538 ns/op
Iteration  13: 59553.973 ns/op
Iteration  14: 59130.717 ns/op
Iteration  15: 60293.132 ns/op
Iteration  16: 60805.878 ns/op
Iteration  17: 58236.115 ns/op
Iteration  18: 60341.450 ns/op
Iteration  19: 60458.168 ns/op
Iteration  20: 57873.343 ns/op
Iteration  21: 58093.980 ns/op
Iteration  22: 57727.096 ns/op
Iteration  23: 58152.878 ns/op
Iteration  24: 58955.693 ns/op
Iteration  25: 57737.848 ns/op
Iteration  26: 59222.431 ns/op
Iteration  27: 57750.425 ns/op
Iteration  28: 59493.938 ns/op
Iteration  29: 60732.325 ns/op
Iteration  30: 58156.877 ns/op
Iteration  31: 58959.884 ns/op
Iteration  32: 58071.014 ns/op
Iteration  33: 57515.788 ns/op
Iteration  34: 57090.076 ns/op
Iteration  35: 58183.194 ns/op
Iteration  36: 58817.499 ns/op
